url,quantity_sold
https://www.lazada.vn/products/sulwhasoo-official-store-sua-duong-nhan-sam-cao-cap-giu-am-va-phuc-hoi-da-sulwhasoo-concentrated-ginseng-renewing-emulsion-ex-125ml-i1717431941.html,231
https://www.lazada.vn/products/tinh-chat-serum-danh-cho-da-mun-ecotop-acne-50ml-i251734125.html,82
https://www.lazada.vn/products/sieu-tinh-chat-xoa-tham-do-mo-sam-nam-angels-liquid-tranexamic-mela-ampoule-30ml-i2338291806.html,8
https://www.lazada.vn/products/tinh-chat-mo-tham-sang-da-garnier-bright-complete-anti-acness-booster-serum-4-niacinamide-bha-aha-vitamin-c-cho-da-dau-mun-30ml-i2063571076.html,112
https://www.lazada.vn/products/kem-nang-co-mat-duong-trang-bio-essence-bio-vlift-bio-essence-vlift-brightening-chiet-xuat-hoa-phong-lan-den-va-tinh-chat-gao-45gr-i287448171.html,1100
https://www.lazada.vn/products/freeship-max-kem-q2-vang-collagen-khomyphamct-i454224998.html,349
https://www.lazada.vn/products/gel-cai-thien-seo-vua-seo-lom-seo-tham-hiruscar-5g-i208584061.html,11100
https://www.lazada.vn/products/tinh-chat-peel-da-sinh-hoc-auschoo-20ml-mo-tham-trang-da-se-khit-lo-chan-longpeel-da-matpremium-peeling-x91-i2392413321.html,545
https://www.lazada.vn/products/serum-senka-deep-moist-3x-ha-cap-am-chuyen-sau-cai-thien-nep-nhan-30ml-i1480999609.html,407
https://www.lazada.vn/products/tinh-chat-duong-trang-thu-nho-lo-chan-long-cao-cap-medi-peel-i2338482519.html,25
https://www.lazada.vn/products/tinh-chat-revox-b77-tay-te-bao-chet-cho-da-mat-just-salicylic-acid-2-30ml-i1951936381.html,182
https://www.lazada.vn/products/toner-bha-compliment-no-problem-lam-sach-sau-kiem-dau-giam-mun-mo-tham-200ml-i2165190800.html,8
https://www.lazada.vn/products/hoat-chat-tay-te-bao-chet-thong-thoang-lo-chan-long-candid-bha-gel-exfoliant-100ml-i1876154657.html,262
https://www.lazada.vn/products/kem-duong-trang-da-nacific-phyto-niacin-whitening-tone-up-cream-50ml-i1400792149.html,120
https://www.lazada.vn/products/tinh-chat-bi-dao-cocoon-n15-15-niacinamide-ho-tro-giam-bong-nhon-va-mun-70ml-i2206991053.html,23
https://www.lazada.vn/products/hcmkem-duong-trang-da-x2-6-tac-dung-i1315959358.html,37
https://www.lazada.vn/products/tinh-chat-hong-7-loai-vitamin-b-phuc-hoi-va-lam-sang-da-cnp-laboratory-vita-b-energy-ampule-15ml-i343772004.html,855
https://www.lazada.vn/products/serum-nhau-thai-cuu-lam-mo-tham-nam-tan-nhang-lanopearl-nurturing-sensitive-skin-serum-25ml-i386224362.html,25
https://www.lazada.vn/products/tinh-chat-cap-am-phuc-hoi-skinavis-hyaluronic-acid-niacinamide-b5-i1542445317.html,264
https://www.lazada.vn/products/voucher-80kngay-cuoi-san-sale-tinh-chat-duong-sang-da-ahc-niacin-biome-mela-scissors-max-essence-30ml-i2158632053.html,156
https://www.lazada.vn/products/maxman-enlargement-male-delay-cream-enlarge-mssage-cream-i2370756705.html,5
https://www.lazada.vn/products/tinh-chat-giup-lam-mem-min-da-ngan-ngua-dau-hieu-lao-hoa-da-svr-a-ampoule-lift-30ml-i1506051510.html,97
https://www.lazada.vn/products/bo-2-gel-cai-thien-seo-vua-seo-lom-seo-tham-hiruscar-gel-20g-i1332465300.html,937
https://www.lazada.vn/products/kem-lam-mo-vet-nam-sakura-transforming-cream-30g-i1618917064.html,61
https://www.lazada.vn/products/bo-doi-duong-chat-giam-mun-mo-tham-danh-cho-da-dau-mun-garnier-bright-complete-anti-acnes-booster-serum-30ml2-i2055266641.html,2200
https://www.lazada.vn/products/bo-doi-duong-sang-da-mo-tham-nam-tan-nhang-chiet-xuat-vitamin-c-so-ri-co-mem-i2458213281.html,146
https://www.lazada.vn/products/tinh-chat-medicube-triple-collagen-serum-30-55ml-i2336148901.html,11
https://www.lazada.vn/products/tinh-chat-kem-duong-ho-tro-trang-mo-tham-neogen-dermalogy-real-vitamin-c-serum-32g-i2338499655.html,67
https://www.lazada.vn/products/serum-tinh-chat-duong-trang-da-ahohwa-whitening-ampoule-ntg-30ml-mo-tham-mun-sam-nam-chong-lao-hoa-chong-oxy-hoa-i2193920435.html,26
